,Experiment,Information,t[h],X[g],V[L],P[g],ccc[%],Glucose[mg/L],Acetate[mg/L]
0,exp1,lin_ctrl,4.0,10.1375091842189,0.5695229878774662,0.0967957769580683,98.6504670786343,,
1,exp1,lin_ctrl,15.0,24.9962983081836,0.7182844341432091,0.9853380115989852,95.819180742164,,
2,exp1,lin_ctrl,19.0,29.5872982520204,0.7745366034560314,1.4117010410645976,93.8393090845199,0.0,0.0
3,exp1,lin_ctrl,23.0,33.691121274041,0.8298305732522414,1.7653224936443217,92.242291718825,0.0,0.0
4,exp1,lin_ctrl,27.0,37.2204348108313,0.8840958387370855,2.1012962955867085,89.7890786403337,0.0,0.0
5,exp1,lin_ctrl,31.0,40.3595086217666,0.938593223762016,2.2918419886416603,88.2748263601748,0.0,0.0
6,exp1,lin_ctrl,35.0,42.6652990961852,0.992216258050814,2.0630013404861227,86.5001885351642,0.0,0.0
7,exp2,lin_slim,4.0,10.3459718141202,0.5684599897868241,0.0951989461541367,100.0,,
8,exp2,lin_slim,15.0,25.9165447691853,0.7259536349911828,0.9678010677241796,95.6616494989335,,
9,exp2,lin_slim,19.0,30.4092841092381,0.7797252335702057,1.4253135126173828,93.3986533605547,0.0,0.0
10,exp2,lin_slim,23.0,33.9784507396025,0.8328051651863358,1.689399847902696,91.1631828163112,0.0,0.0
11,exp2,lin_slim,27.0,34.425034361988,0.8759550728241243,2.103641546484583,89.1790402746108,0.0,361.49
12,exp2,lin_slim,31.0,33.8914569634037,0.9209635044403128,2.366451211626833,90.7510893819584,0.0,1590.48
13,exp2,lin_slim,35.0,32.3697710202488,0.9749931030195392,2.079633987080409,91.1629650361107,0.0,6091.18
14,exp3,lin_slim,4.0,10.2891258151415,0.5684599897868231,0.1293306826363063,97.8433009741051,,
15,exp3,lin_slim,15.0,26.4973076771782,0.7259536349911835,1.1732180237097585,94.8148917244509,,
16,exp3,lin_slim,19.0,30.2533390625241,0.7797252335702046,1.568845178012214,93.2149752530426,,
17,exp3,lin_slim,23.0,33.8118897065652,0.8328051651863351,1.9237581128885244,92.397647528887,,
18,exp3,lin_slim,27.0,35.6513714639418,0.8759550728241228,2.241472632459334,89.9263584081357,,
19,exp3,lin_slim,31.0,36.0096730236162,0.9209635044403144,2.500718527311975,90.8858721149097,,
20,exp3,lin_slim,35.0,34.2222579159857,0.9749931030195385,2.421548956392779,91.3925714468676,,
21,exp4,lin_slim,4.0,10.402817813099,0.5684599897868244,0.1364449929773314,97.112409473775,,
22,exp4,lin_slim,15.0,26.7150937676756,0.7259536349911868,1.1369371797029362,94.2725150812803,,
23,exp4,lin_slim,19.0,30.7211742026661,0.7797252335702036,1.6750058579123204,93.1342650186771,,
24,exp4,lin_slim,23.0,33.8951702230838,0.8328051651863342,2.079585682120302,90.5076198196317,,
25,exp4,lin_slim,27.0,35.651371463942,0.8759550728241234,2.338679390036956,89.2142293968511,,
26,exp4,lin_slim,31.0,35.5491912713961,0.9209635044403134,2.662680613259065,90.8896059285117,,
27,exp4,lin_slim,35.0,34.2222579159857,0.9749931030195385,2.413849465298904,91.6402616605245,,
28,exp5,lin_ctrl,4.0,9.91908048437258,0.5700620968030252,0.1292382520400826,97.9109815226588,,
29,exp5,lin_ctrl,15.0,25.938919316165,0.7265803730018187,1.0751933713177493,94.3431288809907,,
30,exp5,lin_ctrl,19.0,30.5035948419184,0.7801430905861463,1.6665974060649151,93.2000725168339,,
31,exp5,lin_ctrl,23.0,34.4984760191828,0.8332965222024852,1.8785104603854696,92.3376082415307,,
32,exp5,lin_ctrl,27.0,38.6280861491977,0.8779110488454023,2.143709400374853,89.0054183280251,,
33,exp5,lin_ctrl,31.0,41.3482828618104,0.922952742451125,2.33707334573967,87.3718458836642,,
34,exp5,lin_ctrl,35.0,43.8918005088867,0.9667797468917756,2.434987022872482,85.2663122195276,,
35,exp6,lin_ctrl,4.0,10.2611177424545,0.5700620968030278,0.1285720201303287,98.2411814565487,,
36,exp6,lin_ctrl,15.0,25.7936032415644,0.7265803730018162,1.092001963797561,94.8337754554456,,
37,exp6,lin_ctrl,19.0,30.581609150977,0.7801430905861458,1.5501018872355428,93.1116777859102,,
38,exp6,lin_ctrl,23.0,34.6651353236235,0.8332965222024861,1.9313844180244932,90.9742676045845,,
39,exp6,lin_ctrl,27.0,38.4525039394284,0.8779110488454013,2.2065123742434105,89.3072749134531,,
40,exp6,lin_ctrl,31.0,41.4405781360555,0.9229527424511268,2.407973369534149,87.846220698605,,
41,exp6,lin_ctrl,35.0,44.1818344329542,0.9667797468917746,2.3792476644336946,86.4360642030893,,
42,exp7,lin_slim,4.0,10.2068627531084,0.5670479307282444,0.1301506566529566,97.3384571591233,,
43,exp7,lin_slim,7.0,16.8683356390763,0.6045998436944954,0.3497421951928558,97.1740097908322,,
44,exp7,lin_slim,15.0,25.9372042912966,0.720477896980461,1.188022894747418,95.2805401270496,,
45,exp7,lin_slim,19.0,30.6654214124335,0.7743793285968036,1.319822766681655,92.8083167188835,0.0,0.0
46,exp7,lin_slim,23.0,33.9309844356139,0.8275849862344814,1.6979042736093075,90.1143695014663,0.0,0.0
